year,month,file_date,case_number,case_title,file_contains,case_info_url,pdf_url,pdf_filename,download_status,scraped_at
2021,April,"Apr. 15, 2021",98596-1,In re Dependency of E.M.,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=985961MAJ,https://www.courts.wa.gov/opinions/pdf/985961.pdf,98596-1_In re Dependency of E.M..pdf,Success,2025-12-05T11:37:40.598350
2021,April,"Apr. 15, 2021",96143-3,State v. D.L.,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=961433MAJ,https://www.courts.wa.gov/opinions/pdf/961433.pdf,96143-3_State v. D.L..pdf,Success,2025-12-05T11:37:46.716281
2021,April,"Apr. 15, 2021",96894-2,State v. M.S.,"Maj., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=968942MAJ,https://www.courts.wa.gov/opinions/pdf/968942.pdf,96894-2_State v. M.S..pdf,Success,2025-12-05T11:37:53.153971
2021,April,"Apr. 22, 2021",98024-1,"Silver v. Rudeen Mgmt. Co., Inc.",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=980241MAJ,https://www.courts.wa.gov/opinions/pdf/980241.pdf,"98024-1_Silver v. Rudeen Mgmt. Co., Inc..pdf",Success,2025-12-05T11:37:58.585477
2021,April,"Apr. 29, 2021",98904-4,In re Det. of McHatton,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=989044MAJ,https://www.courts.wa.gov/opinions/pdf/989044.pdf,98904-4_In re Det. of McHatton.pdf,Success,2025-12-05T11:38:04.756981
2021,April,"Apr. 29, 2021",98221-0,Saralegui Blanco v. Gonzalez Sandoval,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=982210MAJ,https://www.courts.wa.gov/opinions/pdf/982210.pdf,98221-0_Saralegui Blanco v. Gonzalez Sandoval.pdf,Success,2025-12-05T11:38:09.698198
2021,May,"May. 06, 2021",98067-5,State v. Knapp,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=980675MAJ,https://www.courts.wa.gov/opinions/pdf/980675.pdf,98067-5_State v. Knapp.pdf,Success,2025-12-05T11:38:16.914336
2021,May,"May. 06, 2021",13083-3,State v. Towessnute,Majority Opinion and an Order,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=130833MAJ,https://www.courts.wa.gov/opinions/pdf/130833.pdf,13083-3_State v. Towessnute.pdf,Success,2025-12-05T11:38:22.135521
2021,May,"May. 13, 2021",98726-2,Johnson v. Liquor & Cannabis Bd.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987262MAJ,https://www.courts.wa.gov/opinions/pdf/987262.pdf,98726-2_Johnson v. Liquor & Cannabis Bd..pdf,Success,2025-12-05T11:38:27.655748
2021,May,"May. 20, 2021",98905-2,In re Termination of Parental Rights to M.A.S.C.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=989052MAJ,https://www.courts.wa.gov/opinions/pdf/989052.pdf,98905-2_In re Termination of Parental Rights to M.A.S.C..pdf,Success,2025-12-05T11:38:34.475833
2021,May,"May. 20, 2021",98319-4,Ladenburg v. Henke,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=983194MAJ,https://www.courts.wa.gov/opinions/pdf/983194.pdf,98319-4_Ladenburg v. Henke.pdf,Success,2025-12-05T11:38:41.086966
